my_rowid,current_status,timestamp_created,threshold,interpreter_class,interpreter_class2,interpreter_certainty,interpreter_certainty2,interpreter_class_id,interpreter_class2_id,certainty_threshold
275,evaluated,2022-02-12 11:00:57.086109,2000,music,ambience,83,16,3,0,50
276,evaluated,2022-02-12 11:02:32.239456,2000,footsteps,ambience,88,11,1,0,50
277,evaluated,2022-02-12 11:02:48.459556,2000,music,ambience,90,7,3,0,50
278,evaluated,2022-02-12 11:03:40.911776,2000,music,ambience,84,13,3,0,50
279,evaluated,2022-02-12 11:03:54.205377,2000,ambience,horn,96,2,0,2,50
280,evaluated,2022-02-12 11:03:59.783141,2000,ambience,footsteps,67,32,0,1,50
281,evaluated,2022-02-12 11:04:07.773239,2000,ambience,music,87,5,0,3,50
282,evaluated,2022-02-12 11:04:08.973426,2000,ambience,music,74,15,0,3,50
283,evaluated,2022-02-12 11:04:13.919892,2000,ambience,horn,94,3,0,2,50
284,evaluated,2022-02-12 11:04:15.219760,2000,ambience,music,70,23,0,3,50
285,evaluated,2022-02-12 11:04:18.069520,2000,music,ambience,69,28,3,0,50
286,evaluated,2022-02-12 11:04:19.992746,2000,ambience,horn,84,5,0,2,50
287,evaluated,2022-02-12 11:04:26.241824,2000,ambience,footsteps,50,50,0,1,50
288,evaluated,2022-02-12 11:04:29.338281,2000,ambience,music,91,5,0,3,50
289,evaluated,2022-02-12 11:04:32.586286,2000,ambience,music,59,14,0,3,50
290,evaluated,2022-02-12 11:04:34.234270,2000,music,ambience,92,4,3,0,50
291,evaluated,2022-02-12 11:04:36.709137,2000,ambience,horn,94,3,0,2,50
292,evaluated,2022-02-12 11:04:40.410167,2000,ambience,footsteps,96,1,0,1,50
293,evaluated,2022-02-12 11:04:43.607792,2000,ambience,music,61,26,0,3,50
294,evaluated,2022-02-12 11:04:48.029660,2000,music,ambience,80,12,3,0,50
295,evaluated,2022-02-12 11:04:50.378822,2000,ambience,music,55,43,0,3,50
296,evaluated,2022-02-12 11:04:51.628533,2000,music,footsteps,95,3,3,1,50
297,evaluated,2022-02-12 11:04:56.476607,2000,music,ambience,53,37,3,0,50
298,evaluated,2022-02-12 11:05:02.001040,2000,ambience,footsteps,99,0,0,1,50
299,evaluated,2022-02-12 11:05:08.094801,2000,music,ambience,95,3,3,0,50
300,evaluated,2022-02-12 11:05:13.293937,2000,ambience,footsteps,61,24,0,1,50
301,evaluated,2022-02-12 11:05:24.414882,2000,ambience,music,97,1,0,3,50
302,evaluated,2022-02-12 11:05:36.634634,2000,ambience,footsteps,95,4,0,1,50
303,evaluated,2022-02-12 11:05:44.653048,2000,ambience,music,81,14,0,3,50
304,evaluated,2022-02-12 11:05:47.853362,2000,ambience,music,72,25,0,3,50
305,evaluated,2022-02-12 11:06:38.205341,2000,music,ambience,59,34,3,0,50
306,evaluated,2022-02-12 11:06:48.025287,2000,ambience,music,95,3,0,3,50
307,evaluated,2022-02-12 11:06:50.025659,2000,ambience,music,99,0,0,3,50
308,evaluated,2022-02-12 11:06:52.448868,2000,ambience,music,80,18,0,3,50
309,evaluated,2022-02-12 11:07:07.745903,2000,ambience,music,57,42,0,3,50
310,evaluated,2022-02-12 11:07:35.105095,2000,music,ambience,87,8,3,0,50
311,evaluated,2022-02-12 11:07:43.476348,2000,music,ambience,80,16,3,0,50
312,evaluated,2022-02-12 11:07:47.950469,2000,music,ambience,97,1,3,0,50
313,evaluated,2022-02-12 11:07:51.898141,2000,ambience,music,50,21,0,3,50
314,evaluated,2022-02-12 11:07:55.742494,2000,music,ambience,78,20,3,0,50
315,evaluated,2022-02-12 11:07:58.443429,2000,music,shout,90,5,3,4,50
316,deleted,2022-02-12 11:08:01.969233,2000,shout,music,28,28,4,3,50
317,evaluated,2022-02-12 11:08:04.038025,2000,ambience,music,85,11,0,3,50
318,evaluated,2022-02-12 11:08:05.340700,2000,music,footsteps,99,0,3,1,50
319,evaluated,2022-02-12 11:08:06.964804,2000,music,ambience,98,1,3,0,50
320,evaluated,2022-02-12 11:08:09.739431,2000,ambience,music,75,18,0,3,50
321,evaluated,2022-02-12 11:08:11.537294,2000,music,ambience,55,40,3,0,50
322,evaluated,2022-02-12 11:08:14.162415,2000,music,ambience,77,17,3,0,50
